,DAY,SKU,Location,Alley,AlleyCell,Max,Min,WEEK-1,WEEK-2,WEEK-3,WEEK-4,WEEK-5
6126,TUE,293629,A0534502,A05,A0534,121.0,91.0,0.0,1.0,0.0,0.0,0.0
6127,TUE,293631,A0534103,A05,A0534,144.0,108.0,0.0,0.0,0.0,1.0,1.0
6128,TUE,294281,A0401203,A04,A0401,144.0,108.0,17.0,19.0,41.0,1.0,12.0
6129,TUE,294283,A0945203,A09,A0945,288.0,216.0,0.0,4.0,0.0,0.0,0.0
6130,TUE,294328,A0727302,A07,A0727,256.0,192.0,0.0,1.0,2.0,0.0,0.0
6131,TUE,294329,A0733402,A07,A0733,666.0,500.0,2.0,0.0,2.0,0.0,0.0
6132,TUE,294340,A0523302,A05,A0523,320.0,240.0,0.0,0.0,0.0,0.0,1.0
6133,TUE,294442,A0915304,A09,A0915,1152.0,864.0,0.0,3.0,0.0,1.0,1.0
6134,TUE,294446,A0301303,A03,A0301,1152.0,864.0,0.0,2.0,1.0,3.0,0.0
6135,TUE,294451,A0218301,A02,A0218,1152.0,864.0,5.0,6.0,2.0,0.0,0.0
6136,TUE,294452,A0916102,A09,A0916,1152.0,864.0,2.0,2.0,1.0,0.0,2.0
6137,TUE,294458,A0916204,A09,A0916,800.0,600.0,0.0,3.0,1.0,0.0,1.0
6138,TUE,294459,A0916301,A09,A0916,1152.0,864.0,0.0,0.0,0.0,1.0,0.0
6139,TUE,294465,A0220106,A02,A0220,300.0,225.0,1.0,0.0,0.0,0.0,1.0
6140,TUE,294467,A0916501,A09,A0916,1152.0,864.0,0.0,2.0,0.0,0.0,2.0
6141,TUE,294469,A0902204,A09,A0902,300.0,225.0,0.0,0.0,0.0,1.0,1.0
6142,TUE,294471,A0220205,A02,A0220,1152.0,864.0,3.0,1.0,1.0,0.0,0.0
6143,TUE,294472,A0917102,A09,A0917,1152.0,864.0,1.0,0.0,0.0,0.0,1.0
6144,TUE,294473,A0940503,A09,A0940,1152.0,864.0,1.0,1.0,1.0,0.0,0.0
6145,TUE,294474,A0917104,A09,A0917,1152.0,864.0,0.0,0.0,0.0,1.0,2.0
6146,TUE,294674,A0701404,A07,A0701,108.0,81.0,1.0,0.0,0.0,0.0,1.0
6147,TUE,294858,A0406102,A04,A0406,800.0,600.0,2.0,0.0,0.0,1.0,1.0
6148,TUE,294878,A0732504,A07,A0732,240.0,180.0,0.0,0.0,1.0,0.0,0.0
6149,TUE,294951,A0917201,A09,A0917,1152.0,864.0,0.0,6.0,2.0,1.0,3.0
6150,TUE,294952,A0926401,A09,A0926,1152.0,864.0,0.0,0.0,1.0,0.0,1.0
6151,TUE,294953,A0210105,A02,A0210,100.0,75.0,0.0,2.0,3.0,0.0,0.0
6152,TUE,294955,A0917301,A09,A0917,1152.0,864.0,1.0,1.0,0.0,1.0,0.0
6153,TUE,294957,A0917303,A09,A0917,1152.0,864.0,0.0,0.0,0.0,1.0,0.0
6154,TUE,295043,A0330507,A03,A0330,30.0,23.0,1.0,2.0,0.0,0.0,0.0
